PipeWhisper 5-Year Financial Model (Base Case) - All values in USD
,,,,,,
SECTION,Line Item,Year 1,Year 2,Year 3,Year 4,Year 5
CASH,Working capital + CapEx,0,0,-2000000,0,-2000000
CASH,Ending cash,3449000,14201000,26501000,86777000,97409000
,,,,,,
VALUATION,ARR EOY,48000,1060000,5600000,18600000,47800000
VALUATION,Valuation @ 6x ARR,288000,6360000,33600000,111600000,286800000
VALUATION,Valuation @ 10x ARR,480000,10600000,56000000,186000000,478000000
VALUATION,Valuation @ 15x ARR (category leader),720000,15900000,84000000,279000000,717000000
VALUATION,Base case (8x total revenue),1440000,16800000,76000000,224000000,544000000
,,,,,,
PILOT YEAR DETAIL,Pilots signed,2,6,10,10,10
PILOT YEAR DETAIL,Sensors deployed in pilots,48,144,240,240,240
PILOT YEAR DETAIL,Pilot MRR,1160,4350,6960,6960,6960
PILOT YEAR DETAIL,False positive rate target,0.25,0.15,0.08,0.08,0.08
PILOT YEAR DETAIL,Precision (72hr window),0.72,0.85,0.94,0.94,0.94
,,,,,,
BOM NODE,Raw BOM @ 10K units,32.10,,,,
BOM NODE,CM labor + test,3.50,,,,
BOM NODE,Provisioning,1.20,,,,
BOM NODE,Packaging,0.80,,,,
BOM NODE,Freight + duty,1.50,,,,
BOM NODE,Warehouse + fulfillment,1.10,,,,
BOM NODE,Reverse logistics reserve,1.20,,,,
BOM NODE,Fully loaded cost per Node @ 10K,41.40,,,,
BOM NODE,Fully loaded cost per Node @ 100K,26.48,,,,
BOM NODE,Fully loaded cost per Node @ 500K,21.15,,,,
BOM NODE,Node retail price,499.00,,,,
BOM NODE,Gross margin @ 100K,0.94,,,,
,,,,,,
BOM GATEWAY,Raw BOM @ 10K,100.30,,,,
BOM GATEWAY,Assembly + test,8.00,,,,
BOM GATEWAY,Packaging + freight,3.00,,,,
BOM GATEWAY,Fully loaded @ 10K,111.30,,,,
BOM GATEWAY,Gateway retail price,399.00,,,,
BOM GATEWAY,Gross margin @ 10K,0.72,,,,
,,,,,,
FUNDING,Round,Pre-seed,Seed,Series A,Series B,
FUNDING,Close timing (month),0,14,28,46,
FUNDING,Raise amount,750000,4000000,18000000,60000000,
FUNDING,Pre-money valuation,3000000,16000000,72000000,340000000,
FUNDING,Post-money valuation,3750000,20000000,90000000,400000000,
FUNDING,Dilution %,0.20,0.20,0.20,0.15,
FUNDING,Cumulative dilution,0.20,0.36,0.488,0.565,
,,,,,,
SCENARIOS,Bear (-40%) Y5 ARR,,,,,28680000
SCENARIOS,Base Y5 ARR,,,,,47800000
SCENARIOS,Bull (+35%) Y5 ARR,,,,,64530000
SCENARIOS,Bear Y5 valuation @ 8x,,,,,229440000
SCENARIOS,Base Y5 valuation @ 8x,,,,,382400000
SCENARIOS,Bull Y5 valuation @ 8x,,,,,516240000
SCENARIOS,Category leader Y5 valuation @ 15x,,,,,717000000
